word count,POS_Standardized,hebrew,transliteration,meaning,gematria ,prime factorization,,,,Is_Prime,Prime_Factor_Count,Contains_Factor_2,Contains_Factor_3,Numerical_Range,Semantic_Category
1428,noun,האצולה,ha'atsula,the aristocracy,142,2 × 71,2,71,,,,,,,
909,noun,העבדות,ha'avdut,the slavery,486,2 × 3⁵,2,3⁵,,,,,,,
456,noun,האוויר,ha'avir,the air,228,2² × 3 × 19,2²,3,19,,,,,,
560,noun,העבודה,ha'avoda,the work,86,2 × 43,2,43,,,,,,,
657,noun,האל,ha'el,the god,36,2² × 3²,2²,3²,,,,,,,
452,adjective,העליון,ha'elyon,the upper / the top / the superior (m.s.),171,3² × 19,3²,19,,,,,,,
1179,adjective,העליונה,ha'elyona,the upper / the top / the superior (f.s.),171,3² × 19,3²,19,,,,,,,
1288,noun,העת,ha'et,the period / age,475,5² × 19,5²,19,,,,,,,
513,noun,העץ,ha'ets,the tree / the wood,175,5² × 7,5²,7,,,,,,,
541,noun,העצים,ha'etsim,the trees / the logs,225,3² × 5²,3²,5²,,,,,,,
777,noun,האזור,ha'ezor,the area / the region / the zone,223,223,223,,,,,,,,
842,noun,האזרחים,ha'ezrakhim,the citizens,268,2² × 67,2²,67,,,,,,,
980,adjective,העיקרי,ha'ikari,the main / the principal / the primary (m.s.),395,5 × 79,5,79,,,,,,,
778,adjective,העיקריים,ha'ikariym,the main / the principal / the primary (m.pl.),385,5 × 7 × 11,5,7,11,,,,,,
1400,noun,העניין,ha'inyan,the matter / the interest,150,2 × 3 × 5²,2,3,5²,,,,,,
633,noun,העירייה,ha'iriya,the municipality,235,5 × 47,5,47,,,,,,,
1182,noun,האיש,ha'ish,the person / the man / the husband,316,2² × 79,2²,79,,,,,,,
1562,noun,האסלאם,ha'islam,the Islam,121,11²,11²,,,,,,,,
972,adjective,העברי,ha'ivri,the Hebrew,287,7 × 41,7,41,,,,,,,
544,noun,העברית,ha'ivrit,the Hebrew,687,3 × 229,3,229,,,,,,,
971,adjective,העולמי,ha'olami,the global / the universal (m.s.),121,11²,11²,,,,,,,,
673,adjective,העולמית,ha'olamit,the global / the universal (f.s.),586,2 × 293,2,293,,,,,,,
802,noun,האמנות,ha'omanut,the art,502,2 × 251,2,251,,,,,,,
1424,noun,האויב,ha'oyev,the enemy,19,19,19,,,,,,,,
612,noun,האוכלוסייה,ha'ukhlusiya,the population,162,2 × 3⁴,2,3⁴,,,,,,,
725,noun,העובדה,ha'uvda,the fact,86,2 × 43,2,43,,,,,,,
885,adjective,הבא,haba,next / the person who is coming (m.s.),7,7,7,,,,,,,,
1188,adjective,הבאים,haba'im,next / the person who is coming (m.pl.),63,3² × 7,3²,7,,,,,,,
1476,adjective,הבאות,haba'ot,the next / the person who is coming (f.pl.),412,2² × 103,2²,103,,,,,,,
516,noun,הבנק,habank,the bank,152,2³ × 19,2³,19,,,,,,,
1557,noun,הברזל,habarzel,the iron,298,2 × 149,2,149,,,,,,,
1477,noun,הבסיס,habasis,the basis / the base,122,2 × 61,2,61,,,,,,,
1380,noun,הבתים,habatim,the houses / the homes,457,457,457,,,,,,,,
752,adjective,הבינלאומי,habeynleumi,the international (m.s.),147,3 × 7²,3,7²,,,,,,,
1241,noun,הביצים,habeytsim,the eggs,5+2+10+90+10+40 = 157,157,157,,,,,,,,
1252,prefix,הבלתי,habilti,"the in-, the un-, the dis-",52,2² × 13,2²,13,,,,,,,
1044,noun,הבניין,habinyan,the building,127,127,127,,,,,,,,
1527,noun,הביולוגיה,habiologia,the biology,58,2 × 29,2,29,,,,,,,
1176,noun,הבירה,habira,the capital / the beer,217,7 × 31,7,31,,,,,,,
1055,noun,הביטחון,habitakhon,the security / the confidence,473,11 × 43,11,43,,,,,,,
410,noun,הבחירות,habkhirot,the elections / the selections,623,7 × 89,7,89,,,,,,,
609,adjective,הבורים,haburim,the ignorant (m.pl.),253,11 × 23,11,23,,,,,,,
818,noun,הדם,hadam,the blood,49,7²,7²,,,,,,,,
809,noun,הדרום,hadarom,the south,255,3 × 5 × 17,3,5,17,,,,,,
892,noun,הדת,hadat,the religion,409,409,409,,,,,,,,
585,noun,הדגל,hadegel,the flag,42,2 × 3 × 7,2,3,7,,,,,,
1551,noun,הדלת,hadelet,the door,434,2 × 7 × 31,2,7,31,,,,,,
586,noun,הדמוקרטיה,hademokratya,the democracy,269,269,269,,,,,,,,
539,noun,הדין,hadin,the judgment / the sentence / the law,74,2 × 37,2,37,,,,,,,
960,adjective,הדרומי,hadromi,the southern,265,5 × 53,5,53,,,,,,,
1403,noun,הדברים,hadvarim,the words / what was said / the things,256,2⁸,2⁸,,,,,,,,
408,verb,הפך,hafakh,inverted / converted / turned (m.s.),138,2 × 3 × 23,2,3,23,,,,,,
729,verb,הפכה,hafkha,inverted / converted / turned (f.s.),133,7 × 19,7,19,,,,,,,
1102,verb,הפכו,hafkhu,inverted / converted / turned (pl.),133,7 × 19,7,19,,,,,,,
817,noun,הגנה,hagana,defense,63,3² × 7,3²,7,,,,,,,
1474,adjective,הגבוהה,hagavoha,the high / the tall (f.s.),24,2³ × 3,2³,3,,,,,,,
438,adjective,הגדולה,hagdola,the big / the large (f.s.),48,2⁴ × 3,2⁴,3,,,,,,,
565,adjective,הגדולים,hagdolim,the big / the large (m.pl.),58,2 × 29,2,29,,,,,,,
1298,adjective,הגדולות,hagdolot,the big / the large (f.pl.),453,3 × 151,3,151,,,,,,,
643,noun,הגדוד,hagdud,the regiment,22,2 × 11,2,11,,,,,,,
1133,noun,הגדודים,hagdudim,the regiments,62,2 × 31,2,31,,,,,,,
702,noun,הגנרל,hageneral,the general,273,3 × 7 × 13,3,7,13,,,,,,
798,noun,הגשם,hageshem,the rain,353,353,353,,,,,,,,
1105,noun,הגטו,hageto,the ghetto,19,19,19,,,,,,,,
1387,noun,הגידול,hagidul,the growth / the increase / the tumor,53,53,53,,,,,,,,
1440,noun,הגורמים,hagormim,the factors / the causes,279,3² × 31,3²,31,,,,,,,
1580,adjective,הגבוה,hagvoha,the high / the tall (m.s.),24,2³ × 3,2³,3,,,,,,,
1313,noun,הגבול,hagvul,the border / the limit,48,2⁴ × 3,2⁴,3,,,,,,,
1148,noun,ההר,hahar,the mountain,210,2 × 3 × 5 × 7,2,3,5,7,,,,,
1392,noun,ההתקפה,hahatkafa,the attack,140,2² × 5 × 7,2²,5,7,,,,,,
1007,noun,ההיסטוריה,hahistoria,the history,630,2 × 3² × 5 × 7,2,3²,5,7,,,,,
1127,adjective,העיקרית,haikarit,the main / the principal / the primary (m.s.),385,5 × 7 × 11,5,7,11,,,,,,
1247,adjective,הכחול,hakakhol,the blue (m.s.),5+20+20+6+30+6+30+40+6 = 163,163,163,,,,,,,,
632,noun,הקרקע,hakarka,the soil / the ground / the land,385,5 × 7 × 11,5,7,11,,,,,,
1509,adjective,הקשה,hakashe,the difficult / the hard (m.s.),425,5² × 17,5²,17,,,,,,,
1036,adjective,הקטן,hakatan,the small / the little (m.s.),165,3 × 5 × 11,3,5,11,,,,,,
1351,noun,הקיץ,hakayits,the summer,205,5 × 41,5,41,,,,,,,
866,noun,הקשר,hakesher,the tie / the bond / the link,605,5 × 11²,5,11²,,,,,,,
455,noun,הקיסר,hakeysar,the Caesar,375,3 × 5³,3,5³,,,,,,,
1052,noun,הקיבה,hakeyva,the stomach,117,3² × 13,3²,13,,,,,,,
540,noun,הכפר,hakfar,the village,385,5 × 7 × 11,5,7,11,,,,,,
498,adjective,החדש,hakhadash,the new (m.s.),317,317,317,,,,,,,,
1405,adjective,החדשים,hakhadashim,the new (m.pl.),317,317,317,,,,,,,,
1420,adjective,החי,hakhai,the living,28,2² × 7,2²,7,,,,,,,
1415,adjective,החשובים,hakhashuvim,the important (m.pl.),314,2 × 157,2,157,,,,,,,
864,noun,החיילים,hakhayalim,the soldiers,105,3 × 5 × 7,3,5,7,,,,,,
1197,noun,החזה,hakhaze,the chest / the breast,23,23,23,,,,,,,,
694,noun,החלבון,hakhelbon,the protein,93,3 × 31,3,31,,,,,,,
800,noun,החוף,hakhof,the beach,28,2² × 7,2²,7,,,,,,,
742,noun,החוק,hakhok,the law,123,3 × 41,3,41,,,,,,,
1107,noun,החולירע,hakholera,the cholera,268,2² × 67,2²,67,,,,,,,
912,noun,החולים,hakholim,the patients / the sick,84,2² × 3 × 7,2²,3,7,,,,,,
1030,noun,החומה,hakhoma,the wall,70,2 × 5 × 7,2,5,7,,,,,,
1161,noun,החורף,hakhoref,the winter,293,293,293,,,,,,,,
1349,adverb,החוצה,hakhutsa,[to] outside,128,2⁷,2⁷,,,,,,,,
1393,noun,הכיבוש,hakibush,the occupation,338,2 × 13²,2,13²,,,,,,,
1421,adjective,הכללי,haklali,the general (m.s.),80,2⁴ × 5,2⁴,5,,,,,,,
1300,noun,חקלאות,haklaut,agriculture,8+100+30+30+6+400 = 574,2 × 7 × 41,2,7,41,,,,,,
469,noun,הכנסת,hakneset,the Knesset (the Israeli parliament),895,5 × 179,5,179,,,,,,,
1262,noun,הכנסייה,haknesiya,the church,115,5 × 23,5,23,,,,,,,
1339,verb,הכולל,hakolel,that includes (m.s.),95,5 × 19,5,19,,,,,,,
745,noun,הקולנוע,hakolnoa,the cinema,207,3² × 23,3²,23,,,,,,,
1031,adjective,הקומוניסטית,hakomunistit,the communist (f.s.),491,491,491,,,,,,,,
501,noun,הקבוצה,hakvutsa,the group,159,3 × 53,3,53,,,,,,,
796,adverb,הלאה,hal'a,further,50,2 × 5²,2,5²,,,,,,,
848,noun,הלילה,halaila,tonight / the night,75,3 × 5²,3,5²,,,,,,,
1067,verb,הלך,halakh,walked / went (m.s.),65,5 × 13,5,13,,,,,,,
783,pronoun,הללו,halalu,those,50,2 × 5²,2,5²,,,,,,,
1170,adjective,הלאומי,hale'umi,the national (m.s.),91,7 × 13,7,13,,,,,,,
566,noun,הלחימה,halekhima,the warfare / the fighting,89,89,89,,,,,,,,
1169,adjective/noun,הלבנה,halevana,the white (f.s.) / the moon,87,3 × 29,3,29,,,,,,,
693,adjective,הליברלית,haliberalit,the liberal,677,677,677,,,,,,,,
1289,verb/noun,הלכה,halkha,walked / went (f.s.) / Halachah (Jewish law),65,5 × 13,5,13,,,,,,,
466,adverb,הלא,halo,is it not / indeed,40,2³ × 5,2³,5,,,,,,,
1083,noun,הלוחמים,halokhamim,the warriors,104,2³ × 13,2³,13,,,,,,,
1312,noun,המערכה,hama'arakha,the battle / the campaign / the act,315,3² × 5 × 7,3²,5,7,,,,,,
877,adjective,המערבי,hama'aravi,the western (m.s.),287,7 × 41,7,41,,,,,,,
1053,noun,המערכת,hama'arekhet,the system / the editorial board,749,7 × 107,7,107,,,,,,,
1237,noun,המאבק,hama'avak,the struggle,5+40+1+8+2+100 = 156,2² * 3 * 13,2²,3,13,,,,,,
1546,noun,המהפכה,hamahapekha,the revolution,140,2² × 5 × 7,2²,5,7,,,,,,
1050,noun,המחלה,hamakhala,the illness / the disease,93,3 × 31,3,31,,,,,,,
503,noun,המקום,hamakom,the place,186,2 × 3 × 31,2,3,31,,,,,,
1472,noun,המקור,hamakor,the source / the beak,346,2 × 173,2,173,,,,,,,
1552,noun,המלכה,hamalka,the queen,95,5 × 19,5,19,,,,,,,
545,noun,המתמטיקה,hamatematika,the mathematics,505,5 × 101,5,101,,,,,,,
688,noun,המצב,hamatsav,the state / the situation,148,2² × 37,2²,37,,,,,,,
942,noun,המצור,hamatsor,the siege,346,2 × 173,2,173,,,,,,,
954,noun,המוות,hamavet,the death,451,11 × 41,11,41,,,,,,,
1144,noun,המזון,hamazon,the food,68,2² × 17,2²,17,,,,,,,
594,noun,המדינות,hamedinot,the states,505,5 × 101,5,101,,,,,,,
921,noun,המחקר,hamekhkar,the research,269,269,269,,,,,,,,
1098,noun,המרכז,hamerkaz,the center,273,3 × 7 × 13,3,7,13,,,,,,
880,adjective,המרכזי,hamerkazi,the central (m.s.),273,3 × 7 × 13,3,7,13,,,,,,
1145,adjective,המרכזית,hamerkazit,the central (f.s.),669,3 × 223,3,223,,,,,,,
1533,noun/verb,המשיכה,hameshikha,the pull / the attraction / continued (f.s.),353,353,353,,,,,,,,
1297,verb,המתארים,hameta'arim,that/who describe (m.pl.),651,3 × 7 × 31,3,7,31,,,,,,
1306,verb,המתאר,hameta'er,that/who describes (m.s.),651,3 × 7 × 31,3,7,31,,,,,,
1284,verb,המתארת,hameta'eret,that/who describes (f.s.),649,11 × 59,11,59,,,,,,,
1505,adjective,המתים,hametim,the dead (m.pl.),455,5 × 7 × 13,5,7,13,,,,,,
679,noun,המדבר,hamidbar,the desert,252,2² × 3² × 7,2²,3²,7,,,,,,
1482,noun,המפעל,hamif'al,the plant / the factory,240,2⁴ × 3 × 5,2⁴,3,5,,,,,,
946,noun,המקדש,hamikdash,the temple / the shrine,444,2² × 3 × 37,2²,3,37,,,,,,
1549,noun,המקרא,hamikra,the Bible / the legend,345,3 × 5 × 23,3,5,23,,,,,,
1475,noun,המילה,hamila,the word / the circumcision,85,5 × 17,5,17,,,,,,,
988,noun,המילים,hamilim,the words,105,3 × 5 × 7,3,5,7,,,,,,
792,noun,הממשל,hamimshal,the government,425,5² × 17,5²,17,,,,,,,
630,noun,המין,hamin,the kind / the species / the gender,105,3 × 5 × 7,3,5,7,,,,,,
1206,noun,המינים,haminim,the kinds / the species / the genders,5+40+10+50+10+40 = 155,5 * 31,5,31,,,,,,,
1532,noun,המשפחה,hamishpakha,the family,395,5 × 79,5,79,,,,,,,
1544,noun,המשטר,hamishtar,the regime,1049,1049,1049,,,,,,,,
1246,noun,המשטרה,hamishtara,the police,5+40+300+400+200+1 = 946,2 * 11 * 43,2,11,43,,,,,,
1409,noun,המספר,hamispar,the number / the narrator,385,5 × 7 × 11,5,7,11,,,,,,
1418,noun,המטבח,hamitbakh,the kitchen,468,2² × 3² × 13,2²,3²,13,,,,,,
879,noun,המתקפה,hamitkafa,the attack,165,3 × 5 × 11,3,5,11,,,,,,
1150,adjective,המזרחי,hamizrakhi,the eastern (m.s.),263,263,263,,,,,,,,
1130,adjective,המודרנית,hamodernit,the modern (f.s.),705,3 × 5 × 47,3,5,47,,,,,,
1194,noun,המורדים,hamordim,the rebels,304,2⁴ × 19,2⁴,19,,,,,,,
793,noun,המסע,hamsa,the journey,165,3 × 5 × 11,3,5,11,,,,,,
1064,noun,הנער,hana'ar,the boy / the youngster,365,5 × 73,5,73,,,,,,,
1457,noun,הנגיף,hanagif,the virus,143,11 × 13,11,13,,,,,,,
1126,noun,הנשיא,hanasi,the president,371,7 × 53,7,53,,,,,,,
795,noun,הנדסה,handasa,engineering,70,2 × 5 × 7,2,5,7,,,,,,
510,noun,הנמלה,hanemala,the ant,125,5³,5³,,,,,,,,
753,noun,הנשק,haneshek,the weapon,405,3⁴ × 5,3⁴,5,,,,,,,
721,adjective,הנראה,hanir'e,the visible,265,5 × 53,5,53,,,,,,,
1235,noun,הניצחון,hanitsakhon,the victory,234,2 × 3² × 13,2,3²,13,,,,,,
1235,noun,הניצחון,hanitsakhon,the victory,5+50+10+90+8+20+50 = 233,233,233,,,,,,,,
834,noun,הנמלים,hanmalim,the harbors / the ants,185,5 × 37,5,37,,,,,,,
820,noun,הנושא,hanose,the subject,366,2 × 3 × 61,2,3,61,,,,,,
829,noun,הנוצרים,hanotsrim,the Christian (m.pl.),705,3 × 5 × 47,3,5,47,,,,,,
424,adverb,הפעם,hapa'am,this time,145,5 × 29,5,29,,,,,,,
1187,noun,הפנים,hapanim,the face / the inside / the interior,190,2 × 5 × 19,2,5,19,,,,,,
1320,noun,הפארק,hapark,the park,385,5 × 7 × 11,5,7,11,,,,,,
1180,noun,הפעילות,hape'ilut,the activity,202,2 × 101,2,101,,,,,,,
728,noun,הפעולה,hape'ula,the action / the operation / the deed,202,2 × 101,2,101,,,,,,,
1372,noun,הפרק,haperek,the chapter / the period / the joint,385,5 × 7 × 11,5,7,11,,,,,,
661,noun,הפרוש,haperush,the meaning / the interpretation,586,2 × 293,2,293,,,,,,,
1550,noun,הפטרוסלינון,hapetrosilnon,the parsley,531,3² × 59,3²,59,,,,,,,
943,noun,הפיקוד,hapikud,the command,196,2² × 7²,2²,7²,,,,,,,
1346,noun,הפירמידה,hapiramida,the pyramid,129,3 × 43,3,43,,,,,,,
833,noun,הפיסול,hapisul,the sculpture,216,2³ × 3³,2³,3³,,,,,,,
1478,noun,הפלישה,haplisha,the invasion,395,5 × 79,5,79,,,,,,,
958,noun,הפועלים,hapo'alim,the workers,205,5 × 41,5,41,,,,,,,
717,noun,הפועל,hapo'el,the worker / that operates,165,3 × 5 × 11,3,5,11,,,,,,
1542,adjective,הפוליטי,hapoliti,the political (m.s.),495,3² × 5 × 11,3²,5,11,,,,,,
985,adjective,הפוליטית,hapolitit,the political (f.s.),495,3² × 5 × 11,3²,5,11,,,,,,
1280,noun,הר,har,mountain,5+200 = 205,5 * 41,5,41,,,,,,,
1386,noun,הרעיון,hara'ayon,the idea,286,2 × 11 × 13,2,11,13,,,,,,
923,noun,הרכבת,harakevet,the train / assembly of,627,3 × 11 × 19,3,11,19,,,,,,
743,adjective,הראשי,harashi,the main,525,3 × 5² × 7,3,5²,7,,,,,,
964,noun,הרגל,haregel,the leg,233,233,233,,,,,,,,
1401,noun,הרחוב,harekhov,the street,222,2 × 3 × 37,2,3,37,,,,,,
1341,noun,הרפובליקה,harepublika,the republic,367,367,367,,,,,,,,
549,noun,הרימון,harimon,the pomegranate / the grenade,355,5 × 71,5,71,,,,,,,
924,noun,הרוח,haruakh,the wind / the spirit / the ghost,219,3 × 73,3,73,,,,,,,
1013,noun,השפה,hasafa,the language / the lip,385,5 × 7 × 11,5,7,11,,,,,,
604,noun,השחקן,hasakhkan,the player / the actor,465,3 × 5 × 31,3,5,31,,,,,,
1560,noun,השחקנים,hasakhkanim,the players / the actors,465,3 × 5 × 31,3,5,31,,,,,,
680,noun,השדרה,hasdera,the boulevard,524,2² × 131,2²,131,,,,,,,
417,noun,הספינה,hasfina,the ship,165,3 × 5 × 11,3,5,11,,,,,,
626,noun,השאר,hash'ar,the rest,605,5 × 11²,5,11²,,,,,,,
935,noun,השעה,hasha'a,the hour / the time,375,3 × 5³,3,5³,,,,,,,
429,adverb,השנה,hashana,this year,360,2³ × 3² × 5,2³,3²,5,,,,,,
962,noun,השד,hashed,the devil / the breast,304,2⁴ × 19,2⁴,19,,,,,,,
447,noun,השם,hashem,the name / God,345,3 × 5 × 23,3,5,23,,,,,,
641,noun,השטח,hashetakh,the area / the field / the territory,323,17 × 19,17,19,,,,,,,
1086,noun,השלטונות,hashiltonot,the authorities,785,5 × 157,5,157,,,,,,,
423,noun,השימוש,hashimush,the use,746,2 × 373,2,373,,,,,,,
847,noun,השיר,hashir,the song / the poem,515,5 × 103,5,103,,,,,,,
1340,noun,השריון,hashiryon,the armor,676,2² × 13²,2²,13²,,,,,,,
1573,adjective,השחורה,hashkhora,the black (f.s.),521,521,521,,,,,,,,
543,adjective,השונים,hashonim,the different / the various (m.pl.),416,2⁵ × 13,2⁵,13,,,,,,,
1000,noun,השונות,hashonut,the difference / the variation,716,2² × 179,2²,179,,,,,,,
744,noun,השפעה,hashpa'a,effect / influence,440,2³ × 5 × 11,2³,5,11,,,,,,
1411,noun,השיח,hasi'akh,the talk / the conversation / the bush,318,2 × 3 × 53,2,3,53,,,,,,
521,noun,הסדרה,hasidra,the series,274,2 × 137,2,137,,,,,,,
900,noun,הסיפור,hasipur,the story,386,2 × 193,2,193,,,,,,,
1033,noun,הסוכנות,hasokhnut,the agency / the [Jewish] Agency,139,139,139,,,,,,,,
1511,noun,הסביבה,hasviva,the area,117,3² × 13,3²,13,,,,,,,
1568,noun,התא,hata,the cell,405,3⁴ × 5,3⁴,5,,,,,,,
991,noun,התאריך,hata'arikh,the date,649,11 × 59,11,59,,,,,,,
1099,noun,התחנה,hatakhana,the station / the stop / the base,464,2⁴ × 29,2⁴,29,,,,,,,
1479,noun,התרבות,hatarbut,the civilization / the culture,642,2 × 3 × 107,2,3,107,,,,,,
953,noun,התבלינים,hatavlinim,the spices,497,7 × 71,7,71,,,,,,,
1240,noun,התיאור,hate'ur,the description,5+400+10+6+200+1 = 622,2 * 311,2,311,,,,,,,
825,noun,התהילה,hatehila,the glory / the fame,60,2² × 3 × 5,2²,3,5,,,,,,
1034,noun,התל,hatel,the hill,440,2³ × 5 × 11,2³,5,11,,,,,,
672,noun,הטבע,hateva,the nature,87,3 × 29,3,29,,,,,,,
810,noun,התיכון,hatikhon,the middle / the median / the high school,485,5 × 97,5,97,,,,,,,
1412,noun,הטיפול,hatipul,the treatment,56,2³ × 7,2³,7,,,,,,,
558,noun,התקופה,hatkufa,the period / the era,501,3 × 167,3,167,,,,,,,
1245,noun,התואר,hato'ar,the title / the degree / the adjective / the appearance / the shape,5+400+6+1+200 = 612,2² * 3 * 3 * 17,2²,3,3,17,,,,,
855,noun,התוכנית,hatokhnit,the program / the plan,875,5³ × 7,5³,7,,,,,,,
913,adjective,הטוב,hatov,the good (m.s.),17,17,17,,,,,,,,
884,noun,התובע,hatove'a,the prosecutor,482,2 × 241,2,241,,,,,,,
938,adjective,הצעיר,hatsa'ir,the young (m.s.),395,5 × 79,5,79,,,,,,,
776,noun,הצפון,hatsafon,the north,231,3 × 7 × 11,3,7,11,,,,,,
760,,הצדדים,hatsdadim,the sides,128,2⁷,2⁷,,,,,,,,
1137,adjective,הצעירים,hatse'irim,the young (m.pl.),400,2⁴ × 5²,2⁴,5²,,,,,,,
959,adjective,הצפוני,hatsfoni,the northern,236,2² × 59,2²,59,,,,,,,
1125,noun,הצי,hatsi,the navy / the armada,120,2³ × 3 × 5,2³,3,5,,,,,,
941,noun,הציבור,hatsibur,the public,292,2² × 73,2²,73,,,,,,,
1087,adjective,הציונית,hatsiyonit,the Zionist (f.s.),495,3² × 5 × 11,3²,5,11,,,,,,
1425,noun,הצלב,hatslav,the cross,132,2² × 3 × 11,2²,3,11,,,,,,
992,noun,הצורך,hatsorekh,the need,350,2 × 5² × 7,2,5²,7,,,,,,
845,adjective,הצבאי,hatsva'i,the military (m.s.),131,131,131,,,,,,,,
1452,adjective,הצבאית,hatsva'it,the military (f.s.),506,2 × 11 × 23,2,11,23,,,,,,
975,noun,התבונה,hatvuna,the intelligence,467,467,467,,,,,,,,
1504,noun,הוועד,hava'ad,the committee / the board,20,2² × 5,2²,5,,,,,,,
465,noun,היער,haya'ar,the forest,285,3 × 5 × 19,3,5,19,,,,,,
1435,noun,היבשה,hayabasha,the land,317,317,317,,,,,,,,
1316,adjective,הידוע,hayadu'a,the known (m.s.),30,2 × 3 × 5,2,3,5,,,,,,
1481,noun,היחס,hayakhas,the relation / the ratio / the attitude,85,5 × 17,5,17,,,,,,,
482,adjective,היחיד,hayakhid,the only / the single / the individual,43,43,43,,,,,,,,
872,noun,הימים,hayamim,the days,65,5 × 13,5,13,,,,,,,
639,noun,היחידה,hayekhida,the unit / the squad / the only,34,2 × 17,2,17,,,,,,,
508,noun,היישוב,hayeshuv,the settlement / the civilization,331,331,331,,,,,,,,
606,noun,היתר,hayeter,the rest,625,5⁴,5⁴,,,,,,,,
1265,noun,היצירה,hayetsira,the formation / the creation / the artistic work,625,5⁴,5⁴,,,,,,,,
897,noun,היצורים,hayetsurim,the creatures,666,2 × 3² × 37,2,3²,37,,,,,,
1530,noun,הילדים,hayladim,the children,104,2³ × 13,2³,13,,,,,,,
1135,adverb,היותר,hayoter,the more,625,5⁴,5⁴,,,,,,,,
830,noun,הזהב,hazahav,the gold,19,19,19,,,,,,,,
857,adjective,הזקן,hazaken,the old (m.s.),167,167,167,,,,,,,,
509,adjective,הזקנה,hazkena,the old (f.s.),163,163,163,,,,,,,,
1296,adjective,הזו,hazo,this (f.),22,2 × 11,2,11,,,,,,,
568,adjective,הזאת,hazot,this (f.),417,3 × 139,3,139,,,,,,,
618,noun,הערות,he'arot,comments,621,3³ × 23,3³,23,,,,,,,
703,verb,הגיעה,hegi'a,arrived (f.s.),24,2³ × 3,2³,3,,,,,,,
449,verb,החלה,hekhela,started (f.s.),48,2⁴ × 3,2⁴,3,,,,,,,
784,verb,החליט,hekhlit,decided (m.s.),58,2 × 29,2,29,,,,,,,
957,verb,הקים,hekim,established / made someone stand,165,3 × 5 × 11,3,5,11,,,,,,
1443,noun,הרגלים,hergelim,habits / the pilgrim festivals,253,11 × 23,11,23,,,,,,,
1399,verb,השיב,heshiv,replied / returned [something] (m.s.),317,317,317,,,,,,,,
1444,noun,הסכם,heskem,agreement / contract,148,2² × 37,2²,37,,,,,,,
1092,verb,הציע,hetsi'a,proposed / suggested / offered (m.s.),120,2³ × 3 × 5,2³,3,5,,,,,,
1561,verb,הציג,hetsig,introduced / displayed / presented (m.s.),117,3² × 13,3²,13,,,,,,,
1469,verb,הצליחה,hetslikha,succeeded (f.s.),453,3 × 151,3,151,,,,,,,
542,verb,הביא,hevi,brought (m.s.),18,2 × 3²,2,3²,,,,,,,
701,verb,הביאה,hevi'a,brought (f.s.),22,2 × 11,2,11,,,,,,,
576,verb,הביאו,hevi'u,brought (pl.),23,23,23,,,,,,,,
1338,conjunction,היות,heyot,since / given that / being,25,5²,5²,,,,,,,,
451,adverb,היטב,heytev,well / properly,26,2 × 13,2,13,,,,,,,
432,verb,המשיך,himshikh,continued (m.s.),355,5 × 71,5,71,,,,,,,
826,verb,המשיכו,himshikhu,continued (pl.),375,3 × 5³,3,5³,,,,,,,
506,adverb,הנה,hine,here is,60,2² × 3 × 5,2²,3,5,,,,,,
578,verb,הנני,hineni,I am / here I am,75,3 × 5²,3,5²,,,,,,,
929,verb,הינו,hino,he is / is (m.),75,3 × 5²,3,5²,,,,,,,
1473,verb,השתמשו,hishtamshu,used (pl.),751,751,751,,,,,,,,
1259,adjective,היסטורי,histori,historical (m.s.),630,2 × 3² × 5 × 7,2,3²,5,7,,,,,
591,noun,היסטוריה,historia,history,630,2 × 3² × 5 × 7,2,3²,5,7,,,,,
1195,noun,התנגדות,hitnagdut,resistance / objection,474,2 × 3 × 79,2,3,79,,,,,,
1427,noun,התפתחות,hitpatkhut,development,496,2⁴ × 31,2⁴,31,,,,,,,
1491,verb,הצטרף,hitstaref,joined (m.s.),599,599,599,,,,,,,,
1369,verb,היוו,hivu,were / constituted (pl.),26,2 × 13,2,13,,,,,,,
755,noun,הוד,hod,glory,15,3 × 5,3,5,,,,,,,
1287,verb,הודיע,hodi'a,informed / announced (m.s.),30,2 × 3 × 5,2,3,5,,,,,,
1518,verb,הופיע,hofi'a,appeared / performed (m.s.),136,2³ × 17,2³,17,,,,,,,
890,verb/noun,הורה,hora,instructed (m.s.) / parent,211,211,211,,,,,,,,
1529,verb,הוסיף,hosif,added (m.s.),101,101,101,,,,,,,,
1303,verb,הוביל,hovil,led / transported (m.s.),52,2² × 13,2²,13,,,,,,,
1227,verb,הוקם,hukam,was established / was made to stand (m.s.),5+6+100+40 = 151,151,151,,,,,,,,
1419,verb,הוחלט,hukhlat,has been decided,58,2 × 29,2,29,,,,,,,
1454,verb,הוקמה,hukma,was established,165,3 × 5 × 11,3,5,11,,,,,,
1502,verb,הוקמו,hukmu,were established / were built (m.pl.),71,71,71,,,,,,,,
1080,noun,עיקר,ikar,main point / essence,380,2² × 5 × 19,2²,5,19,,,,,,
773,noun,עניין,inyan,matter / interest,150,2 × 3 × 5²,2,3,5²,,,,,,
1278,noun,עיר,ir,city,280,2³ × 5 × 7,2³,5,7,,,,,,
484,noun,ארגון,irgun,organization,273,3 × 7 × 13,3,7,13,,,,,,
1463,noun,אישה,isha,woman / wife,306,2 × 3² × 17,2,3²,17,,,,,,
1183,noun,אשתו,ishto,his wife,377,13 × 29,13,29,,,,,,,
1483,noun,עברית,ivrit,Hebrew,687,3 × 229,3,229,,,,,,,
